,AO3,AOA1,AOA3,AOA4,AOA6,AOA7,GBM1,GBM11,GBM15,GBM21,GBM24,GBM25,GBM28,GBM3,GBM31,GBM4,GBM5,GBM6,GBM9,GNN1,GS1,O1,O3,O4,O5,sGBM3
EXT1,0.35852499918599,0.281932078832008,0.181002875292185,0.161967477062096,0.643383406265636,1.13902942396475,0.0325515478585565,-0.0218112839998505,-0.0870944698405585,-0.144086331408194,-0.194368806123744,-0.0451918149733018,0.00156924697360079,-0.212864381344983,-0.388147567185691,-0.0848201335573726,-0.278333407893656,0.510843583256787,-0.069563496389231,0.466994025734663,0.292994025734663,0.714463052283335,0.566002875292185,0.432967477062096,0.0541621673275831,-0.260220259979623
DIP2C,0.62352499918599,0.228932078832008,-0.00199712470781513,0.253967477062096,0.397383406265636,0.202029423964751,0.255551547858557,-0.0708112839998505,-0.170094469840558,0.105913668591806,0.121631193876256,0.403808185026698,0.277569246973601,-0.214864381344983,-0.347147567185691,-0.155820133557373,-0.213333407893656,0.0358435832567866,0.201436503610769,0.107994025734663,0.0729940257346628,0.589463052283335,0.478002875292185,0.687967477062096,0.865162167327583,0.122779740020377
SVIL,0.61752499918599,0.383932078832008,0.164002875292185,-0.181032522937904,0.240383406265636,0.198029423964751,0.0655515478585565,-0.149811283999851,0.191905530159442,-0.626086331408194,0.399631193876256,-0.445191814973302,-0.391430753026399,-0.163864381344983,-0.864147567185691,0.0541798664426274,-0.200333407893656,-0.371156416743213,-0.447563496389231,0.357994025734663,-0.561005974265337,-0.174536947716665,0.00600287529218489,0.503967477062096,0.00116216732758311,-0.147220259979623
MGC39606,0.37152499918599,-0.465067921167992,-0.306997124707815,0.158967477062096,-0.0376165937343638,-0.323970576035249,0.284551547858557,-0.0528112839998505,0.348905530159442,0.0179136685918056,0.289631193876256,0.741808185026698,0.431569246973601,-0.252864381344983,0.270852432814309,0.304179866442627,-0.0533334078936558,0.382843583256787,0.100436503610769,-0.444005974265337,0.255994025734663,0.365463052283335,0.199002875292185,0.812967477062096,0.414162167327583,0.169779740020377
ADARB2,0.42852499918599,-0.0510679211679921,0.154002875292185,-0.460032522937904,0.258383406265636,0.149029423964751,0.191551547858557,-0.61781128399985,-0.968094469840558,0.0449136685918056,-0.0803688061237443,-0.669191814973302,-0.7594307530264,-1.25086438134498,-1.00314756718569,-0.886820133557373,-0.528333407893656,-0.130156416743213,-0.443563496389231,0.192994025734663,-0.348005974265337,-0.0655369477166647,-0.483997124707815,0.163967477062096,0.490162167327583,-0.432220259979623
PARD3,0.22952499918599,0.201932078832008,0.326002875292185,-0.181032522937904,0.276383406265636,0.437029423964751,0.330551547858557,-0.289811283999851,-0.431094469840558,-0.133086331408194,0.0486311938762557,-0.119191814973302,-0.343430753026399,0.150135618655017,-0.552147567185691,-0.261820133557373,-0.153333407893656,0.238843583256787,-0.158563496389231,0.702994025734663,-0.00100597426533724,0.326463052283335,-0.135997124707815,0.676967477062096,0.258162167327583,0.151779740020377
SPAG6,-0.29047500081401,-0.390067921167992,0.0250028752921849,-0.425032522937904,0.175383406265636,0.0700294239647512,0.362551547858557,-1.08281128399985,-0.798094469840559,-0.150086331408194,-0.0763688061237443,-0.494191814973302,-0.484430753026399,0.120135618655017,-1.17714756718569,-0.560820133557373,-0.790333407893656,-0.336156416743213,-0.622563496389231,0.438994025734663,-0.456005974265337,-0.251536947716665,-0.0739971247078151,0.319967477062096,0.630162167327583,0.031779740020377
AKR1C1,0.80052499918599,0.490932078832008,0.329002875292185,0.484967477062096,0.658383406265636,0.422029423964751,0.513551547858557,-0.289811283999851,-0.0120944698405585,0.0639136685918056,0.162631193876256,-0.125191814973302,-0.357430753026399,-0.669864381344983,0.0458524328143088,0.0231798664426273,-0.303333407893656,0.917843583256787,0.153436503610769,0.214994025734663,0.256994025734663,0.656463052283335,0.274002875292185,0.832967477062097,0.513162167327583,0.497779740020377
CCDC3,0.25952499918599,1.00393207883201,0.391002875292185,0.0139674770620964,0.416383406265636,0.450029423964751,0.620551547858557,-0.60081128399985,-0.393094469840559,0.326913668591806,0.468631193876256,-0.269191814973302,-0.195430753026399,0.136135618655017,-0.550147567185691,-0.510820133557373,-0.308333407893656,-0.416156416743213,-0.074563496389231,0.770994025734663,-0.105005974265337,0.179463052283335,0.184002875292185,0.421967477062096,0.413162167327583,0.165779740020377
AKR1C2,-0.0514750008140098,0.0679320788320079,0.0570028752921849,-0.633032522937904,0.324383406265636,-0.565970576035249,0.449551547858557,-0.64581128399985,-0.274094469840559,-0.144086331408194,-0.654368806123744,-0.575191814973302,-0.5994307530264,-0.826864381344983,-0.465147567185691,-0.723820133557373,-0.805333407893656,-0.415156416743213,-0.570563496389231,-1.40000597426534,-0.663005974265337,0.233463052283335,-0.0869971247078151,0.730967477062096,0.300162167327583,0.252779740020377
TCTEX1D1,0.19652499918599,0.532932078832008,0.0330028752921849,0.0199674770620964,-0.0916165937343638,0.120029423964751,0.534551547858557,-0.181811283999851,-0.266094469840559,0.415913668591806,0.448631193876256,0.136808185026698,0.0895692469736008,0.246135618655017,-0.405147567185691,0.0371798664426274,-0.000333407893655838,-0.0881564167432134,0.155436503610769,0.189994025734663,-0.162005974265337,0.227463052283335,-1.10099712470782,-1.3440325229379,-1.28883783267242,-0.426220259979623
GYPA,0.42952499918599,-1.06706792116799,-0.429997124707815,-0.0480325229379036,0.189383406265636,0.0930294239647512,0.111551547858557,0.249188716000149,0.114905530159442,0.313913668591806,-0.505368806123744,0.727808185026698,0.432569246973601,-0.365864381344983,0.332852432814309,0.0941798664426274,0.0486665921063442,0.612843583256787,0.333436503610769,0.205994025734663,0.240994025734663,0.518463052283335,0.427002875292185,1.0889674770621,0.482162167327583,0.366779740020377
VASP,-0.81447500081401,-0.498067921167992,-0.573997124707815,-0.325032522937904,-0.309616593734364,-0.0509705760352488,-0.451448452141443,-0.285811283999851,-0.826094469840559,-0.426086331408194,-0.433368806123744,-0.403191814973302,-0.345430753026399,0.316135618655017,-0.659147567185691,-0.437820133557373,-0.485333407893656,-0.463156416743213,-0.296563496389231,0.0809940257346628,-0.171005974265337,-0.920536947716665,-0.287997124707815,-0.452032522937904,-0.700837832672417,-0.308220259979623
ACAD8,0.89152499918599,-0.601067921167992,0.103002875292185,0.0859674770620964,0.149383406265636,0.700029423964751,-0.145448452141443,0.73818871600015,-0.358094469840558,-0.309086331408194,-0.0623688061237443,-0.164191814973302,0.371569246973601,0.0281356186550167,0.523852432814309,0.518179866442627,0.272666592106344,-0.228156416743213,0.112436503610769,-0.354005974265337,0.0559940257346628,0.761463052283335,0.633002875292185,0.862967477062096,0.669162167327583,0.285779740020377
C1orf63,-0.81047500081401,-0.476067921167992,-0.209997124707815,-0.273032522937904,-0.420616593734364,-0.494970576035249,-0.656448452141443,-0.109811283999851,-0.356094469840558,0.0399136685918056,-0.305368806123744,-0.489191814973302,-0.766430753026399,-0.0458643813449833,-0.234147567185691,0.0931798664426274,-0.453333407893656,-0.144156416743213,0.103436503610769,-0.704005974265337,0.0189940257346627,-0.586536947716665,-0.350997124707815,-0.963032522937904,-0.321837832672417,-0.801220259979623
USP6NL,-0.0734750008140098,-0.592067921167992,0.110002875292185,-0.633032522937904,0.0683834062656362,0.0380294239647512,-0.603448452141443,-0.63581128399985,-0.483094469840558,-0.832086331408194,-0.603368806123744,-1.0321918149733,-1.0194307530264,-0.608864381344983,-0.917147567185691,-0.687820133557373,-0.876333407893656,-0.220156416743213,-0.900563496389231,-0.821005974265337,-0.321005974265337,-0.479536947716665,-0.143997124707815,0.619967477062096,0.0191621673275831,-0.074220259979623
CACNB2,0.0195249991859902,-0.384067921167992,-0.121997124707815,-0.551032522937904,0.430383406265636,-0.180970576035249,0.238551547858557,-0.518811283999851,-0.0280944698405585,0.0869136685918056,-0.373368806123744,-0.340191814973302,-0.473430753026399,-0.415864381344983,-0.118147567185691,-0.405820133557373,-0.510333407893656,-0.0971564167432134,-0.450563496389231,-0.140005974265337,-0.139005974265337,0.301463052283335,-0.109997124707815,0.529967477062096,0.300162167327583,0.235779740020377
CLCA3,0.42952499918599,0.0499320788320079,0.0200028752921849,0.537967477062096,0.289383406265636,0.618029423964751,0.531551547858557,0.131188716000149,-0.0430944698405585,0.194913668591806,0.228631193876256,0.308808185026698,0.256569246973601,0.155135618655017,-0.0851475671856912,0.100179866442627,0.0546665921063442,0.644843583256787,0.490436503610769,0.833994025734663,0.572994025734663,0.712463052283335,0.470002875292185,0.740967477062096,0.365162167327583,0.535779740020377
COX7A1,0.16252499918599,-0.294067921167992,0.0760028752921849,-0.664032522937904,-0.960616593734364,-0.499970576035249,0.299551547858557,-0.109811283999851,0.178905530159442,-0.310086331408194,0.305631193876256,-0.245191814973302,-0.196430753026399,0.194135618655017,0.0358524328143088,0.235179866442627,-0.125333407893656,-0.638156416743213,-0.611563496389231,0.0769940257346628,-0.105005974265337,-0.991536947716665,-1.01999712470782,-0.700032522937904,-0.400837832672417,0.257779740020377
CEAL1,0.0115249991859902,-0.380067921167992,-0.318997124707815,-0.182032522937904,-0.166616593734364,-0.346970576035249,-0.515448452141443,-0.147811283999851,-0.210094469840558,0.0599136685918056,-0.322368806123744,-0.196191814973302,-0.206430753026399,-0.351864381344983,0.0258524328143088,-0.213820133557373,-0.0233334078936558,-0.139156416743213,-0.082563496389231,-0.273005974265337,-0.474005974265337,0.0514630522833353,0.157002875292185,0.532967477062096,-0.0258378326724169,-0.092220259979623
EID.3,-0.30047500081401,-0.358067921167992,-0.228997124707815,-0.304032522937904,-0.429616593734364,0.141029423964751,0.370551547858557,0.117188716000149,0.168905530159442,0.0109136685918056,-0.485368806123744,-0.160191814973302,-0.0924307530263992,0.120135618655017,-0.113147567185691,-0.0858201335573726,0.0786665921063442,-0.282156416743213,-0.234563496389231,0.187994025734663,0.0569940257346628,-0.105536947716665,-0.120997124707815,-0.307032522937904,-0.371837832672417,0.347779740020377
DUS3L,-0.48047500081401,-0.641067921167992,-0.201997124707815,0.194967477062096,-0.126616593734364,-0.0599705760352487,0.223551547858557,-0.191811283999851,-0.848094469840559,-0.121086331408194,-0.609368806123744,-0.711191814973302,-0.773430753026399,0.0261356186550167,-0.927147567185691,-0.497820133557373,0.147666592106344,-0.315156416743213,-0.320563496389231,-0.0180059742653372,-0.791005974265337,-0.506536947716665,-1.71099712470782,-1.2120325229379,-1.47283783267242,-0.390220259979623
KIAA1543,0.0675249991859902,-0.243067921167992,-0.0309971247078151,0.0159674770620964,0.128383406265636,-0.273970576035249,0.702551547858557,0.0771887160001495,0.0939055301594415,0.758913668591806,-0.183368806123744,-0.215191814973302,0.0515692469736008,0.0591356186550167,0.119852432814309,0.137179866442627,0.228666592106344,0.397843583256787,0.249436503610769,-0.397005974265337,-0.0440059742653372,0.305463052283335,-0.286997124707815,0.208967477062096,-0.0988378326724169,0.130779740020377
HBXIP,-1.10347500081401,-0.582067921167992,-0.309997124707815,-0.486032522937904,-0.621616593734364,-0.185970576035249,-0.445448452141443,-0.56781128399985,-0.306094469840558,-0.236086331408194,-0.660368806123744,-0.342191814973302,-0.248430753026399,-0.270864381344983,-0.403147567185691,-0.332820133557373,-0.689333407893656,-0.424156416743213,-0.383563496389231,-0.347005974265337,-0.133005974265337,-0.708536947716665,-0.385997124707815,-0.881032522937904,-0.652837832672417,-0.825220259979623
ZNF226,-0.17947500081401,-0.431067921167992,-0.0149971247078151,0.00696747706209638,-0.169616593734364,-0.311970576035249,-0.695448452141443,-0.0228112839998505,-0.00909446984055848,0.373913668591806,0.535631193876256,0.671808185026698,0.352569246973601,-0.182864381344983,0.340852432814309,-0.118820133557373,0.159666592106344,0.347843583256787,0.221436503610769,-1.63900597426534,0.147994025734663,-0.439536947716665,0.284002875292185,-0.00903252293790358,0.121162167327583,-0.257220259979623
EDG1,-0.42747500081401,-0.314067921167992,-0.205997124707815,-0.113032522937904,-0.0646165937343638,-0.235970576035249,-0.123448452141443,-0.217811283999851,-0.110094469840558,0.379913668591806,0.127631193876256,0.0768081850266982,0.826569246973601,-0.126864381344983,0.0568524328143088,-0.0748201335573726,-0.229333407893656,0.168843583256787,0.201436503610769,-1.16700597426534,0.261994025734663,-0.161536947716665,0.140002875292185,-0.162032522937904,-0.790837832672417,-0.573220259979623
SORT1,-0.0704750008140098,0.313932078832008,-0.128997124707815,0.342967477062096,-0.203616593734364,0.339029423964751,-0.0204484521414435,0.19418871600015,0.387905530159442,-0.0080863314081944,0.355631193876256,-0.0461918149733018,0.221569246973601,0.265135618655017,0.365852432814309,0.105179866442627,0.207666592106344,-0.427156416743213,-0.348563496389231,-0.100005974265337,-0.247005974265337,-0.266536947716665,-0.109997124707815,-0.234032522937904,-0.145837832672417,-0.355220259979623
LOC283070,0.83352499918599,0.329932078832008,0.149002875292185,-0.227032522937904,-0.214616593734364,-0.576970576035249,-0.656448452141443,-0.65481128399985,-0.307094469840558,-1.05508633140819,0.671631193876256,-0.607191814973302,-0.299430753026399,0.222135618655017,-1.38414756718569,-0.471820133557373,-0.705333407893656,-0.992156416743213,-0.97356349638923,-0.0270059742653372,-0.669005974265337,-0.753536947716665,0.923002875292185,0.456967477062096,-0.200837832672417,0.141779740020377
DCLRE1B,0.0075249991859902,0.434932078832008,-0.113997124707815,-0.0620325229379036,0.122383406265636,0.303029423964751,-0.359448452141443,-0.33281128399985,-0.404094469840558,0.0349136685918056,0.305631193876256,-0.0861918149733018,0.117569246973601,0.0901356186550167,-0.512147567185691,-0.0918201335573726,-0.229333407893656,-0.542156416743213,0.166436503610769,0.672994025734663,-0.0960059742653372,-0.421536947716665,0.268002875292185,-0.528032522937904,-0.262837832672417,-0.208220259979623
ZNF549,-0.45147500081401,-0.232067921167992,-0.807997124707815,-0.194032522937904,-0.276616593734364,-1.21297057603525,-0.394448452141443,0.101188716000149,0.723905530159441,0.154913668591806,-0.521368806123744,-0.0191918149733018,-0.290430753026399,-0.741864381344983,0.256852432814309,-0.0248201335573726,-0.333333407893656,-0.600156416743213,-0.201563496389231,-1.06000597426534,-0.746005974265337,-0.112536947716665,0.156002875292185,-0.262032522937904,0.144162167327583,-0.361220259979623
KLRC3,0.49352499918599,-0.142067921167992,0.108002875292185,0.324967477062096,0.764383406265636,0.639029423964751,-0.949448452141443,0.50018871600015,0.411905530159442,1.09491366859181,0.0486311938762557,0.672808185026698,0.473569246973601,0.398135618655017,-0.0611475671856912,0.335179866442627,0.343666592106344,0.857843583256787,0.566436503610769,0.482994025734663,-0.370005974265337,1.15346305228334,0.591002875292185,1.3279674770621,0.690162167327583,-0.423220259979623
ZNF419B,-0.24547500081401,-0.536067921167992,-0.684997124707815,-0.104032522937904,-0.725616593734364,-0.233970576035249,0.166551547858557,0.0671887160001495,-0.451094469840559,-0.575086331408194,0.0486311938762557,0.0148081850266982,-0.386430753026399,0.294135618655017,-0.0661475671856912,-0.0468201335573726,-0.274333407893656,-0.316156416743213,-0.424563496389231,0.600994025734663,-0.149005974265337,-0.925536947716665,-0.0709971247078151,-0.345032522937904,-0.499837832672417,-0.361220259979623
DDEF1,0.37752499918599,0.335932078832008,0.546002875292185,-0.0560325229379036,0.845383406265636,0.472029423964751,0.00455154785855655,0.188188716000149,-0.0510944698405585,0.568913668591806,-0.601368806123744,0.562808185026698,0.397569246973601,-0.346864381344983,0.0348524328143088,0.281179866442627,-0.0163334078936558,0.558843583256787,-0.353563496389231,0.481994025734663,0.404994025734663,0.911463052283335,0.0930028752921849,0.670967477062096,0.279162167327583,0.400779740020377
