,AA3,AO1,AO2,AOA2,GBM16,GBM22,GBM23,GBM26,GBM27,GBM29,GBM30,GS2,JPA2,JPA3,LGG1,O2,sGBM1
EXT1,0.0674542027258132,0.230560397416079,0.711348008035548,1.12315331777006,0.183038273522273,0.181932078832008,-0.233931207910197,-0.121094469840558,-0.0797581866547178,-0.235802434442328,-0.0625723459467532,-0.41847500081401,0.0268690257346627,0.0333480080355477,0.286135618655017,0.273365707150592,0.244542698301034
DIP2C,-0.461545797274187,0.768560397416079,0.494348008035548,-0.449846682229939,-0.154961726477727,0.229932078832008,-0.404931207910197,0.0489055301594415,-0.681758186654718,-0.529802434442328,0.342427654053247,0.15852499918599,0.308869025734663,0.822348008035548,0.416135618655017,0.245365707150592,-0.0904573016989656
SVIL,0.117454202725813,0.200560397416079,0.180348008035548,0.753153317770061,-0.106961726477727,-0.485067921167992,-0.620931207910197,0.0949055301594415,-0.587758186654718,-0.141802434442328,-0.451572345946753,-0.30347500081401,0.149869025734663,0.494348008035548,0.242135618655017,-0.078634292849408,0.259542698301034
MGC39606,-0.250545797274187,0.288560397416079,-0.0406519919644523,-1.09084668222994,-0.133961726477727,0.440932078832008,0.612068792089803,0.126905530159442,0.277241813345282,0.0661975655576716,0.459427654053247,0.45152499918599,0.138869025734663,0.0553480080355477,0.425135618655017,0.409365707150592,0.110542698301034
ADARB2,-0.205545797274187,-0.242439602583921,-0.193651991964452,0.043153317770061,-0.663961726477727,-0.316067921167992,-0.452931207910197,-0.366094469840558,-0.751758186654718,-1.26980243444233,-0.742572345946753,-1.00447500081401,0.0168690257346627,-0.262651991964452,-0.291864381344983,-0.081634292849408,-0.185457301698966
PARD3,0.0284542027258132,0.0905603974160787,0.171348008035548,0.229153317770061,-0.489961726477727,-0.279067921167992,-0.451931207910197,-0.0420944698405585,-0.666758186654718,-0.491802434442328,-0.350572345946753,-0.71047500081401,0.242869025734663,-0.0236519919644523,-0.00186438134498326,0.191365707150592,0.497542698301034
SPAG6,0.226454202725813,-0.0524396025839213,0.0163480080355477,0.171153317770061,-0.881961726477727,-1.09506792116799,-1.1229312079102,-0.621094469840558,-1.04775818665472,-0.911802434442328,-0.603572345946753,-0.50447500081401,-0.0101309742653373,-0.357651991964452,-0.354864381344983,-0.222634292849408,0.0265426983010344
AKR1C1,-0.302545797274187,0.358560397416079,0.637348008035548,0.107153317770061,-0.662961726477727,0.216932078832008,-0.279931207910197,0.262905530159442,-0.0997581866547178,-0.649802434442328,-0.0905723459467532,0.72952499918599,0.344869025734663,-0.124651991964452,0.496135618655017,0.493365707150592,0.157542698301034
CCDC3,0.213454202725813,0.219560397416079,-0.265651991964452,0.142153317770061,-0.428961726477727,0.366932078832008,-0.332931207910197,-0.273094469840558,-0.698758186654718,-0.498802434442328,-0.224572345946753,-0.34047500081401,0.518869025734663,-0.224651991964452,0.105135618655017,0.272365707150592,0.485542698301034
AKR1C2,-0.381545797274187,-0.0124396025839213,-0.287651991964452,-0.103846682229939,-0.937961726477727,-0.862067921167992,-0.922931207910197,-0.436094469840558,-1.01875818665472,-0.712802434442328,-0.374572345946753,-0.26047500081401,0.421869025734663,-1.19365199196445,-0.188864381344983,0.054365707150592,-0.414457301698966
TCTEX1D1,0.396454202725813,0.0975603974160787,0.0813480080355477,0.160153317770061,0.198038273522273,0.464932078832008,0.073068792089803,0.0549055301594415,-0.438758186654718,-0.0498024344423284,-0.315572345946753,-0.23047500081401,0.436869025734663,0.213348008035548,-0.247864381344983,-1.34563429284941,0.183542698301034
GYPA,-0.247545797274187,0.363560397416079,0.217348008035548,0.225153317770061,-0.447961726477727,0.745932078832008,0.377068792089803,0.0519055301594415,-0.0217581866547178,-0.0178024344423284,0.553427654053247,0.00552499918599018,0.476869025734663,-0.0736519919644523,-0.144864381344983,0.635365707150592,0.217542698301034
VASP,0.156454202725813,-0.435439602583921,-0.806651991964452,-0.393846682229939,-0.120961726477727,-0.682067921167992,-0.651931207910197,-0.913094469840558,-0.495758186654718,-0.391802434442328,-0.352572345946753,-0.22047500081401,-0.420130974265337,-0.225651991964452,0.104135618655017,-0.311634292849408,-0.279457301698966
ACAD8,-0.0195457972741868,0.799560397416079,0.351348008035548,-0.846846682229939,-0.275961726477727,0.325932078832008,-0.361931207910197,0.652905530159442,0.599241813345282,-0.341802434442328,0.584427654053247,0.65052499918599,-0.190130974265337,0.488348008035548,0.337135618655017,0.143365707150592,0.0145426983010344
C1orf63,-0.535545797274187,-0.948439602583921,-1.07865199196445,-0.879846682229939,-0.704961726477727,-0.375067921167992,-0.134931207910197,-0.141094469840558,-0.0637581866547178,-0.395802434442328,0.272427654053247,-0.10247500081401,0.204869025734663,-0.389651991964452,-0.208864381344983,-0.475634292849408,-0.428457301698966
USP6NL,-0.663545797274187,-0.219439602583921,-0.0876519919644523,-0.240846682229939,-0.902961726477727,-1.33006792116799,-0.889631207910197,-0.0960944698405585,-0.845758186654718,-1.76780243444233,0.378427654053247,-0.12647500081401,-0.348130974265337,-0.685651991964452,-0.111864381344983,-0.034634292849408,0.236542698301034
CACNB2,-0.347545797274187,0.0755603974160787,0.117348008035548,-0.139846682229939,-0.818961726477727,-0.777067921167992,-0.586931207910197,-0.252094469840558,-0.685758186654718,-0.719802434442328,0.295427654053247,0.16052499918599,0.400869025734663,-0.374651991964452,0.139135618655017,0.636365707150592,0.399542698301034
CLCA3,0.345454202725813,0.430560397416079,0.469348008035548,0.012153317770061,0.293038273522273,0.485932078832008,0.187068792089803,0.263905530159442,0.177241813345282,0.110197565557672,0.231427654053247,0.0585249991859902,0.349869025734663,0.471348008035548,0.293135618655017,0.516365707150592,0.413542698301034
COX7A1,-0.127545797274187,-0.301439602583921,-0.838651991964452,-0.166846682229939,0.225038273522273,-0.362067921167992,-0.0679312079101971,-0.0130944698405585,0.416241813345282,-0.100802434442328,0.359427654053247,0.26252499918599,-2.39513097426534,-0.0366519919644523,-0.112864381344983,-0.754634292849408,-0.683457301698966
CEAL1,-0.539545797274187,-0.00443960258392131,-0.0536519919644523,-0.362846682229939,-0.398961726477727,0.384932078832008,-0.0479312079101971,-0.166094469840558,0.0102418133452822,-0.0998024344423284,0.367427654053247,-0.19647500081401,0.271869025734663,-0.262651991964452,-0.116864381344983,-0.058634292849408,-0.190457301698966
EID.3,0.0244542027258132,-0.0284396025839213,-0.449651991964452,0.408153317770061,0.176038273522273,0.146932078832008,-0.075931207910197,-0.355094469840558,0.198241813345282,0.0981975655576716,-0.402572345946753,0.23052499918599,0.171869025734663,2.08034800803555,-0.146864381344983,-0.062634292849408,-0.187457301698966
DUS3L,-0.204545797274187,-0.299439602583921,-0.427651991964452,-0.185846682229939,-0.214961726477727,-0.358067921167992,-0.218931207910197,-0.602094469840558,-0.460758186654718,-0.810802434442328,-1.02157234594675,-1.10347500081401,-0.925130974265337,-0.270651991964452,-0.528864381344983,-0.730634292849408,-0.807457301698966
KIAA1543,-0.320545797274187,0.162560397416079,-0.780651991964452,-0.782846682229939,-0.388961726477727,0.663932078832008,0.413068792089803,-0.0270944698405585,0.404241813345282,0.156197565557672,0.515427654053247,0.0475249991859902,0.159869025734663,-0.0406519919644523,-0.0568643813449833,-0.049634292849408,-0.160457301698966
HBXIP,-0.371545797274187,-0.989439602583921,-0.293651991964452,-0.687846682229939,-0.377961726477727,-0.394067921167992,-0.612931207910197,-0.553094469840558,-0.603758186654718,-0.0908024344423284,-0.580572345946753,-0.13347500081401,-0.463130974265337,-0.844651991964452,-0.744864381344983,-0.661634292849408,-0.622457301698966
ZNF226,-0.0235457972741868,-0.287439602583921,0.152348008035548,-0.642846682229939,0.388038273522273,-0.0890679211679922,0.689068792089803,0.190905530159442,0.333241813345282,-0.169802434442328,0.447427654053247,0.0115249991859902,0.00986902573466272,-0.0526519919644523,0.178135618655017,0.214365707150592,0.211542698301034
EDG1,-0.393545797274187,-0.417439602583921,-0.0586519919644523,-0.639846682229939,-0.353961726477727,0.0339320788320079,0.0200687920898029,0.179905530159441,0.321241813345282,-0.221802434442328,0.353427654053247,0.14752499918599,0.153869025734663,-0.0146519919644523,-0.121864381344983,-0.026634292849408,-0.101457301698966
SORT1,0.173454202725813,-0.363439602583921,-2.17565199196445,-0.421846682229939,0.0520382735222734,0.503932078832008,0.398068792089803,0.388905530159442,0.357241813345282,0.889197565557672,-0.0815723459467532,0.27652499918599,-0.351130974265337,0.0173480080355477,0.119135618655017,0.139365707150592,-0.337457301698966
LOC283070,0.0344542027258132,-0.0634396025839213,-0.167651991964452,-0.184846682229939,-0.295961726477727,-2.55706792116799,-0.861931207910197,-0.275094469840558,-1.59075818665472,-0.537802434442328,-0.504572345946753,-0.0284750008140098,-1.45813097426534,0.576348008035548,0.202135618655017,-0.074634292849408,0.0685426983010344
DCLRE1B,0.00545420272581319,-0.328439602583921,-0.0676519919644523,-0.044846682229939,0.0180382735222734,0.0779320788320079,-0.450931207910197,0.226905530159441,-0.532758186654718,-0.172802434442328,-0.373572345946753,-0.42747500081401,-0.106130974265337,0.268348008035548,-0.289864381344983,-0.119634292849408,-0.378457301698966
ZNF549,-0.775545797274187,-0.391439602583921,-0.747651991964452,-0.187846682229939,-0.0129617264777266,-0.360067921167992,0.093068792089803,0.248905530159442,0.0422418133452822,0.649197565557672,-0.113572345946753,-0.0844750008140098,0.0498690257346627,-0.821651991964452,-0.220864381344983,0.195365707150592,0.151542698301034
KLRC3,0.334454202725813,0.757560397416079,0.588348008035548,-0.730846682229939,0.608038273522273,0.845932078832008,0.706068792089803,0.454905530159442,0.513241813345282,0.430197565557672,0.794427654053247,-0.50047500081401,0.727869025734663,0.335348008035548,0.482135618655017,0.899365707150592,0.453542698301034
ZNF419B,0.0454542027258132,-0.227439602583921,-0.415651991964452,-0.148846682229939,0.208038273522273,-0.861067921167992,-0.439931207910197,-0.134094469840559,0.0362418133452822,0.0831975655576716,-0.451572345946753,-0.10547500081401,-0.514130974265337,0.0733480080355477,0.0781356186550167,-0.061634292849408,-0.481457301698966
DDEF1,-0.654545797274187,-0.215439602583921,0.902348008035548,0.522153317770061,-1.05696172647773,0.340932078832008,0.570068792089803,-0.0990944698405585,-0.279758186654718,0.175197565557672,-0.304572345946753,-0.0894750008140098,0.355869025734663,-0.293651991964452,0.248135618655017,0.734365707150592,0.665542698301034
DMN,-0.379545797274187,0.0205603974160787,1.01934800803555,-0.424846682229939,-0.394961726477727,0.332932078832008,0.147068792089803,-0.0250944698405585,0.0142418133452822,-0.370802434442328,-0.212572345946753,-0.68547500081401,0.276869025734663,0.0193480080355477,0.148135618655017,0.240365707150592,0.231542698301034
KCNJ1,-1.25154579727419,0.0385603974160787,-0.800651991964452,0.054153317770061,-0.972961726477727,-1.61206792116799,-0.552375652354641,-0.533094469840559,-0.777758186654718,-0.169802434442328,-0.419572345946753,0.24652499918599,-0.110130974265337,-0.222651991964452,-0.637864381344983,-0.197634292849408,-0.634457301698966
MGC18216,-0.257545797274187,-0.610439602583921,0.441348008035548,-0.269846682229939,-0.934961726477727,-0.130067921167992,-0.961931207910197,-0.0320944698405585,-0.824758186654718,-0.824802434442328,-0.624572345946753,-0.77647500081401,-0.392130974265337,-1.51265199196445,-0.963864381344983,-0.494634292849408,-0.172457301698966
PSG5,0.271454202725813,-0.437439602583921,0.0093480080355477,-0.030846682229939,0.443038273522273,0.176932078832008,0.081068792089803,-0.134094469840559,-0.203758186654718,0.0191975655576716,-0.161572345946753,-0.27947500081401,-0.0521309742653373,-0.134651991964452,-0.512864381344983,0.019365707150592,-0.129457301698966
FBXO32,-0.518545797274187,0.417560397416079,0.464348008035548,1.48615331777006,-0.190961726477727,0.0199320788320078,1.0730687920898,-0.0160944698405585,0.357241813345282,0.460197565557672,0.503427654053247,0.0905249991859902,-0.00513097426533728,0.0523480080355477,0.533135618655017,0.795365707150592,-0.0304573016989656
ZNF329,-0.381545797274187,-0.833439602583921,-0.346651991964452,-0.457846682229939,-0.132961726477727,-1.17706792116799,-0.455931207910197,-0.666094469840558,-0.618758186654718,-1.23380243444233,-0.866572345946753,-0.89747500081401,-0.662130974265337,-0.339651991964452,-0.788864381344983,-0.492634292849408,-0.527457301698966
SBP1,0.0064542027258132,-0.335439602583921,-0.137651991964452,-0.219846682229939,0.0970382735222734,-0.0740679211679922,0.0160687920898029,-0.247094469840558,-0.160758186654718,-0.0928024344423284,-0.434572345946753,-0.68547500081401,-0.299130974265337,-0.0536519919644523,-0.289864381344983,-0.287634292849408,0.258542698301034
MGC42367,0.192454202725813,1.05656039741608,0.709348008035548,-0.00384668222993902,-0.552961726477727,1.48893207883201,-0.571931207910197,1.01390553015944,0.805241813345282,1.57819756555767,0.689427654053247,0.51952499918599,-1.50413097426534,0.144348008035548,0.754135618655017,0.691365707150592,0.355542698301034
OSR1,-0.290545797274187,-0.141439602583921,-0.147651991964452,0.264153317770061,-0.296961726477727,-0.0380679211679921,-0.479931207910197,-0.300094469840558,-0.506758186654718,-0.0238024344423284,-0.317572345946753,-0.00847500081400981,-0.210130974265337,-0.473651991964452,-0.575864381344983,0.515365707150592,-0.770457301698966
D21S2089E,-0.590545797274187,0.231560397416079,-0.222651991964452,-0.246846682229939,-0.690961726477727,-0.0790679211679922,-0.374931207910197,-0.134094469840559,0.180241813345282,-0.591802434442328,-0.00157234594675316,-0.68147500081401,-0.324130974265337,-0.159651991964452,0.215135618655017,-0.090634292849408,-0.385457301698966
HNRNPG.T,-0.385545797274187,-0.348439602583921,-1.50865199196445,-1.47984668222994,-0.384961726477727,-0.237067921167992,-0.063931207910197,-0.268094469840559,0.156241813345282,-0.588802434442328,0.0774276540532468,0.23552499918599,-0.334130974265337,-0.255651991964452,-0.118864381344983,0.074365707150592,-0.103457301698966
AP4B1,0.0624542027258132,0.499560397416079,-1.03665199196445,-0.471846682229939,0.0700382735222734,-0.215067921167992,0.482068792089803,0.00890553015944151,1.33524181334528,0.0311975655576716,-0.583572345946753,-0.39447500081401,-1.23813097426534,0.333348008035548,-0.687864381344983,-0.224634292849408,-0.804457301698966
ZNF160,0.356454202725813,0.110560397416079,0.199348008035548,0.336153317770061,0.312038273522273,0.287932078832008,0.565068792089803,0.188905530159442,0.210241813345282,0.419197565557672,-0.0805723459467532,-0.20647500081401,0.224869025734663,0.283348008035548,-0.0968643813449833,0.107365707150592,0.191542698301034
LRBA,-0.117545797274187,-0.498439602583921,-0.429651991964452,-0.619846682229939,-0.347961726477727,-0.646067921167992,-0.609931207910197,-0.766094469840558,-0.747758186654718,-0.721802434442328,-0.598572345946753,0.16152499918599,-0.411130974265337,-0.138651991964452,-1.13486438134498,-0.627634292849408,-0.961457301698966
LILRA1,-0.263545797274187,-0.788439602583921,-0.213651991964452,-0.036846682229939,0.339038273522273,-1.04506792116799,-0.399931207910197,-0.103094469840558,0.211241813345282,-0.573802434442328,-0.733572345946753,-0.45947500081401,-0.475130974265337,-0.105651991964452,-0.422864381344983,-0.362634292849408,-0.137457301698966
EGLN2,-0.581545797274187,0.322560397416079,-0.124651991964452,0.082153317770061,-0.477961726477727,0.357932078832008,0.0510687920898029,0.238905530159441,-0.206758186654718,0.0621975655576716,0.570427654053247,-0.22847500081401,-0.103130974265337,-0.291651991964452,-0.0508643813449833,0.012365707150592,0.195542698301034
BCAM,-0.420545797274187,-0.205439602583921,-0.233651991964452,-0.248846682229939,-0.753961726477727,0.611932078832008,0.601068792089803,-0.401094469840559,0.116241813345282,-0.0688024344423284,0.356427654053247,0.61652499918599,0.508869025734663,-0.342651991964452,-0.473864381344983,1.10636570715059,-0.0114573016989656
GPSM2,-0.0365457972741868,0.542560397416079,0.133348008035548,0.632153317770061,-0.136961726477727,0.789932078832008,0.585068792089803,0.183905530159441,0.0732418133452822,0.399197565557672,0.0424276540532468,0.0405249991859902,0.491869025734663,-0.142651991964452,-0.00786438134498326,0.352365707150592,0.257542698301034
APOC1,0.0854542027258132,-0.672439602583921,-0.281651991964452,-0.420846682229939,0.0730382735222734,-1.16206792116799,-0.305931207910197,-0.263094469840559,-0.381758186654718,-0.344802434442328,-0.413572345946753,0.16652499918599,-0.603130974265337,-0.0666519919644523,-0.442864381344983,-0.385634292849408,-0.796457301698966
IGF1R,0.248454202725813,0.281560397416079,0.906348008035548,0.421153317770061,0.0870382735222734,0.675932078832008,0.814068792089803,0.164905530159442,0.0302418133452822,0.148197565557672,-0.243572345946753,-0.27247500081401,0.528869025734663,0.0943480080355477,-0.329864381344983,0.064365707150592,0.0525426983010344
TLL2,-0.519545797274187,-0.586439602583921,-0.372651991964452,-2.27884668222994,-0.980961726477727,-1.38106792116799,-2.7989312079102,-0.582094469840558,-1.25275818665472,-1.63780243444233,0.146427654053247,-0.53747500081401,-0.775130974265337,-1.05365199196445,-0.576864381344983,-0.660634292849408,-1.02345730169897
CA11,0.0974542027258132,-0.416439602583921,-0.316651991964452,0.093153317770061,0.0250382735222734,-0.829067921167992,-0.972931207910197,0.0749055301594415,0.323241813345282,0.322197565557672,-0.448572345946753,-0.63947500081401,-0.605130974265337,-0.373651991964452,-0.300864381344983,-0.726634292849408,-0.349457301698966
TMEM146,-0.398545797274187,0.147560397416079,-0.213651991964452,-0.356846682229939,0.0530382735222734,0.255932078832008,0.087068792089803,-0.0170944698405585,0.416241813345282,-0.0248024344423284,0.426427654053247,0.91152499918599,-0.121130974265337,-0.316651991964452,0.198135618655017,-0.431634292849408,-0.569457301698966
KCNK6,-0.212545797274187,-0.694439602583921,0.206348008035548,-0.509846682229939,0.412038273522273,0.250932078832008,-0.212931207910197,-0.141094469840558,0.0462418133452822,-0.254802434442328,0.393427654053247,-0.23747500081401,-0.392130974265337,-0.323651991964452,-0.361864381344983,-0.405634292849408,-0.236457301698966
TFDP2,0.0154542027258132,-0.108439602583921,-0.522651991964452,-0.064846682229939,-0.117961726477727,-0.00306792116799215,-0.420931207910197,-0.406094469840559,-0.330758186654718,-0.254802434442328,-0.531572345946753,-0.72047500081401,-0.432130974265337,-0.101651991964452,-0.238864381344983,-0.554634292849408,-0.139457301698966
ZNF233,0.475454202725813,-0.179439602583921,0.189348008035548,-0.00884668222993902,0.323038273522273,-0.462067921167992,0.102068792089803,-0.0800944698405585,0.195241813345282,-0.0688024344423284,-0.282572345946753,0.0175249991859902,-0.0371309742653373,-0.103651991964452,0.00113561865501674,0.078365707150592,-0.0194573016989656
COX6A2,-0.0635457972741868,0.112560397416079,-0.281651991964452,-0.156846682229939,0.185038273522273,-0.127067921167992,-0.0489312079101971,0.187905530159442,0.0112418133452822,0.515197565557672,-0.339572345946753,0.45552499918599,0.148869025734663,0.363348008035548,-0.163864381344983,-0.465634292849408,-0.287457301698966
UBE4B,-0.619545797274187,-0.229439602583921,-0.995651991964452,-0.246846682229939,-0.671961726477727,-0.405067921167992,-0.830931207910197,-0.326094469840559,-0.439758186654718,0.627197565557672,-0.317572345946753,0.22852499918599,-0.377130974265337,-0.912651991964452,-0.251864381344983,-0.064634292849408,-0.426457301698966
NDUFB11,-0.193545797274187,0.00056039741607869,-1.29765199196445,0.00615331777006098,-0.231961726477727,0.150932078832008,0.294068792089803,-0.220094469840558,0.212241813345282,-0.574802434442328,0.160427654053247,-0.48547500081401,0.104869025734663,-0.431651991964452,-0.480864381344983,0.131365707150592,0.211542698301034
TTC23,-0.0855457972741868,0.249560397416079,0.715348008035548,0.551153317770061,0.0830382735222734,-0.567067921167992,-0.875931207910197,0.572905530159442,-0.148758186654718,0.779197565557672,-0.495572345946753,0.18452499918599,-1.01013097426534,0.243348008035548,-0.510864381344983,-0.449634292849408,-0.465457301698966
RBP7,-0.0415457972741868,-0.304439602583921,-0.699651991964452,0.150153317770061,-0.787961726477727,-0.904067921167992,-1.1207312079102,-0.293094469840558,-1.39075818665472,-0.00980243444232841,-1.15757234594675,-0.38247500081401,-1.37513097426534,-0.487651991964452,-0.506864381344983,-1.15363429284941,-0.950457301698965
IGSF3,-0.180545797274187,-0.213439602583921,0.144348008035548,-0.403846682229939,0.00903827352227338,0.254932078832008,0.197068792089803,-0.229094469840558,-0.156758186654718,-0.204802434442328,0.408427654053247,0.46752499918599,0.236869025734663,-0.241651991964452,-0.0308643813449833,0.075365707150592,-0.178457301698966
BLVRB,-0.579545797274187,-0.675439602583921,-0.331651991964452,0.092153317770061,-0.640961726477727,0.302932078832008,0.251068792089803,-0.471094469840559,-0.274758186654718,-0.343802434442328,0.0224276540532468,-1.17947500081401,-0.579130974265337,-0.785651991964452,-0.365864381344983,-1.42663429284941,0.104542698301034
PSG1,0.207454202725813,0.129560397416079,0.443348008035548,0.207153317770061,0.892038273522273,0.752932078832008,0.650068792089803,0.0279055301594415,0.517241813345282,0.399197565557672,0.470427654053247,0.15152499918599,0.583869025734663,1.00334800803555,0.534135618655017,0.350365707150592,0.526542698301034
MYBPC2,0.0824542027258132,2.46056039741608,-0.567651991964452,-0.673846682229939,0.179038273522273,-1.54906792116799,-0.485931207910197,-0.207094469840558,-0.392758186654718,-0.818802434442328,0.0414276540532468,-0.85247500081401,-0.359130974265337,-0.133651991964452,-0.293864381344983,-0.734634292849408,-0.638457301698966
